湖南频道,#genre#
CCTV4,http://39.134.242.92:80/180000001002/00000001000000000008000000047433/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.242.92:80/180000001002/00000001000000000008000000047434/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://39.134.242.92:80/180000001002/00000001000000000008000000047442/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV6,http://39.134.242.92:80/180000001002/00000001000000000008000000047435/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.242.92:80/180000001002/00000001000000000008000000047436/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV8,http://39.134.242.92:80/180000001002/00000001000000000008000000047437/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.242.92:80/180000001002/00000001000000000008000000047438/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV10,http://39.134.242.92:80/180000001002/00000001000000000008000000047439/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV11,http://39.134.242.92:80/180000001002/00000001000000000026000000446966/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.242.92:80/180000001002/00000001000000000008000000047440/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV13,http://39.134.242.92:80/180000001002/00000001000000000050000000133801/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.242.92:80/180000001002/00000001000000000008000000047441/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV15,http://39.134.242.92:80/180000001002/00000001000000000026000000446967/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV16,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000085000000178450/index.m3u8#http://39.134.65.213/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.242.92:80/180000001002/00000001000000000025000000024152/main.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-兵器科技,http://39.134.242.92:80/180000001002/00000001000000000091000000244796/main.m3u8
CCTV-电视指南,http://39.134.242.92:80/180000001002/00000001000000000091000000244797/main.m3u8
CCTV-风云足球,http://39.134.242.92:80/180000001002/00000001000000000091000000244800/main.m3u8
CCTV-央视台球,http://39.134.242.92:80/180000001002/00000001000000000091000000244803/main.m3u8
CCTV-世界地理,http://39.134.242.92:80/180000001002/00000001000000000091000000244805/main.m3u8
CCTV-怀旧剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244806/main.m3u8
CCTV-风云剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244807/main.m3u8
CCTV-第一剧场,http://39.134.242.92:80/180000001002/00000001000000000091000000244808/main.m3u8
CCTV-风云音乐,http://39.134.242.92:80/180000001002/00000001000000000091000000244809/main.m3u8
CCTV-女性时尚,http://39.134.242.92:80/180000001002/00000001000000000091000000244811/main.m3u8
CCTV-高尔夫网球,http://39.134.242.92:80/180000001002/00000001000000000091000000244801/main.m3u8
CCTV-央视文化精品,http://39.134.242.92:80/180000001002/00000001000000000091000000244810/main.m3u8
CETV1,http://36.158.166.3:8089/180000001002/00000001000000000016000000007220/main.m3u8
CETV2,http://36.158.166.3:8089/180000001002/00000001000000000024000000361367/main.m3u8
CETV4,http://36.158.166.3:8089/180000001002/00000001000000000024000000361368/main.m3u8
CGTN,http://36.158.166.3:8089/180000001002/00000000000000020000000000182292/main.m3u8
CGTN阿拉伯语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305587/main.m3u8
CGTN俄语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305589/main.m3u8
CGTN法语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305586/main.m3u8
CGTN纪录,http://36.158.166.3:8089/180000001002/00000000000000020000000000182305/main.m3u8
CGTN西班牙语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305582/main.m3u8

卫视频道,#genre#
东南卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040459/main.m3u8
东方卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047445/main.m3u8
北京卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047443/main.m3u8
天津卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047444/main.m3u8
安徽卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007224/main.m3u8
山东卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047448/main.m3u8
广东卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040391/main.m3u8
江苏卫视,http://39.134.242.92:80/180000001002/00000001000000000007000000001244/main.m3u8
江西卫视,http://39.134.242.92:80/180000001002/00000001000000000064000000308822/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182287/main.m3u8
河北卫视,http://39.134.242.92:80/180000001002/00000001000000000016000000007223/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182263/main.m3u8
浙江卫视,http://39.134.242.92:80/180000001002/00000000000000020000000000182563/main.m3u8
深圳卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047446/main.m3u8
湖北卫视,http://39.134.242.92:80/180000001002/00000001000000000008000000047447/main.m3u8
贵州卫视,http://39.134.242.92:80/180000001002/00000001000000000010000000040424/main.m3u8#http://39.134.242.92:80/180000001002/00000000000000020000000000182262/main.m3u8
