湖南频道,#genre#
深圳卫视,http://iptv.tvfix.org/hls/szhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel17/index.m3u8
吉林卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel20/index.m3u8
广东卫视,http://iptv.tvfix.org/hls/gdhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel16/index.m3u8
江苏卫视,http://iptv.tvfix.org/hls/jshd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel18/index.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://iptv.tvfix.org/hls/zjhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel19/index.m3u8
三沙卫视,http://pull2.ssws.tv/live/SswsTV20210803.m3u8
安徽卫视,http://iptv.tvfix.org/hls/ahhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel23/index.m3u8
北京卫视,http://iptv.tvfix.org/hls/brtv1hd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel24/index.m3u8
湖北卫视,http://iptv.tvfix.org/hls/hbhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel21/index.m3u8
湖南卫视,http://iptv.tvfix.org/hls/hunanhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel25/index.m3u8
江西卫视,http://iptv.tvfix.org/hls/jxhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel22/index.m3u8
天津卫视,http://iptv.tvfix.org/hls/tjhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel28/index.m3u8
黑龙江卫视,http://iptv.tvfix.org/hls/hljhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel27/index.m3u8
东方卫视,http://iptv.tvfix.org/hls/dfhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel26/index.m3u8
辽宁卫视,http://iptv.tvfix.org/hls/lnhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel32/index.m3u8
四川卫视,http://iptv.tvfix.org/hls/schd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel31/index.m3u8
贵州卫视,http://iptv.tvfix.org/hls/gzhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel30/index.m3u8
重庆卫视,http://iptv.tvfix.org/hls/cqhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel56/index.m3u8
甘肃卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel57/index.m3u8
山西卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel54/index.m3u8
山东卫视,http://iptv.tvfix.org/hls/sdhd.m3u8
广西卫视,http://iptv.tvfix.org/hls/gxhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel59/index.m3u8
云南卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel61/index.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel60/index.m3u8
西藏卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel66/index.m3u8
新疆卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel64/index.m3u8
宁夏卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel69/index.m3u8
河南卫视,http://iptv.tvfix.org/hls/hnhd.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel78/index.m3u8
兵团卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel67/index.m3u8
